"Geslacht";"Leeftijd";"Perioden";"Regio's";"Verkeersdoden (aantal)"
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Nederland";1251
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Nederland";1166
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Nederland";817
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Nederland";640
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Nederland";678
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Nederland";661
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Groningen (PV)";48
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Groningen (PV)";34
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Groningen (PV)";21
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Groningen (PV)";25
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Groningen (PV)";22
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Groningen (PV)";19
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Friesland (PV)";71
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Friesland (PV)";64
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Friesland (PV)";48
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Friesland (PV)";27
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Friesland (PV)";27
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Friesland (PV)";29
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Drenthe (PV)";46
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Drenthe (PV)";46
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Drenthe (PV)";32
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Drenthe (PV)";30
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Drenthe (PV)";26
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Drenthe (PV)";29
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Overijssel (PV)";112
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Overijssel (PV)";80
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Overijssel (PV)";70
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Overijssel (PV)";53
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Overijssel (PV)";49
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Overijssel (PV)";57
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Flevoland (PV)";25
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Flevoland (PV)";39
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Flevoland (PV)";20
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Flevoland (PV)";21
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Flevoland (PV)";10
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Flevoland (PV)";16
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Gelderland (PV)";159
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Gelderland (PV)";169
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Gelderland (PV)";116
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Gelderland (PV)";84
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Gelderland (PV)";93
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Gelderland (PV)";87
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Utrecht (PV)";90
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Utrecht (PV)";57
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Utrecht (PV)";50
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Utrecht (PV)";38
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Utrecht (PV)";33
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Utrecht (PV)";45
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Noord-Holland (PV)";159
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Noord-Holland (PV)";166
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Noord-Holland (PV)";113
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Noord-Holland (PV)";80
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Noord-Holland (PV)";90
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Noord-Holland (PV)";87
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Zuid-Holland (PV)";175
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Zuid-Holland (PV)";159
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Zuid-Holland (PV)";95
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Zuid-Holland (PV)";94
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Zuid-Holland (PV)";100
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Zuid-Holland (PV)";85
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Zeeland (PV)";39
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Zeeland (PV)";36
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Zeeland (PV)";24
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Zeeland (PV)";30
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Zeeland (PV)";20
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Zeeland (PV)";13
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Noord-Brabant (PV)";237
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Noord-Brabant (PV)";221
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Noord-Brabant (PV)";169
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Noord-Brabant (PV)";117
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Noord-Brabant (PV)";150
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Noord-Brabant (PV)";142
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Limburg (PV)";90
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Limburg (PV)";93
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Limburg (PV)";59
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Limburg (PV)";41
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Limburg (PV)";58
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Limburg (PV)";52
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";"Niet in te delen (PV)";2
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2018";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2019";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Nederland";68
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Nederland";59
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Nederland";31
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Nederland";18
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Nederland";19
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Nederland";11
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Groningen (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Groningen (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Groningen (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Groningen (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Groningen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Groningen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Friesland (PV)";4
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Friesland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Friesland (PV)";3
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Friesland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Friesland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Friesland (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Drenthe (PV)";4
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Drenthe (PV)";3
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Drenthe (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Drenthe (PV)";1
